subscreen_id	select_sql
SCR_JP_SUB01	SELECT channel_code FROM members.t_address;
SCR_JP_SUB02	SELECT channel_code FROM products.t_brand;
SCR_JP_SUB03	SELECT channel_code FROM products.t_tenant_shop;
SCR_JP_SUB04	SELECT channel_code FROM members.t_member;
SCR_JP_SUB05	SELECT channel_code FROM ec.tuser;
SCR_JP_SUB06	SELECT channel_code FROM products.v_goods;
SCR_JP_SUB07	SELECT channel_code FROM products.v_navigation;
SCR_JP_SUB08	SELECT channel_code FROM products.t_feature;
SCR_JP_SUB09	SELECT channel_code FROM products.t_tenant_shop;
SCR_JP_SUB10	SELECT channel_code FROM products.v_brand;
SCR_JP_SUB11	SELECT channel_code FROM products.v_goods_classification_category;
SCR_JP_SUB12	SELECT channel_code FROM products.t_single_page_setting;
SCR_JP_SUB13	SELECT channel_code FROM products.t_rose_counsel_question;
SCR_JP_SUB14	SELECT channel_code FROM products.t_rose_counsel_question_group;
SCR_JP_SUB15	SELECT channel_code FROM ec.v_image_script;
SCR_JP_SUB16	SELECT channel_code FROM ec.v_page_design;
SCR_JP_SUB17	SELECT channel_code FROM products.v_campaign_category;
SCR_JP_SUB18	SELECT channel_code FROM products.t_goods;
SCR_JP_SUB19	SELECT channel_code FROM products.t_navigation;
SCR_JP_SUB20	SELECT channel_code FROM orders.t_coupon;
SCR_JP_SUB21	SELECT channel_code FROM products.t_noshi;
SCR_JP_SUB22	SELECT channel_code FROM orders.t_credit_card_information;
SCR_JP_SUB23	SELECT channel_code FROM ec,members.tuser,v_member;
SCR_JP_SUB24	SELECT channel_code FROM products.t_goods_sku;
SCR_JP_SUB25	SELECT channel_code FROM products.t_shipping_fee;
SCR_JP_SUB26	SELECT channel_code FROM products.t_icon_code;
SCR_JP_SUB27	SELECT channel_code FROM products.t_category;
SCR_JP_SUB28	SELECT channel_code FROM products.t_attribute_group;
SCR_JP_SUB29	SELECT channel_code FROM products.t_goods_classification;
SCR_JP_SUB30	SELECT channel_code FROM products.t_gift_setting;
SCR_JP_SUB31	SELECT channel_code FROM products.t_icon_code;
SCR_JP_SUB32	SELECT channel_code FROM products.t_store;
SCR_JP_SUB33	SELECT channel_code FROM products.t_undeliverable_area;
SCR_JP_SUB34	SELECT channel_code FROM products.t_noshi;
SCR_JP_SUB35	SELECT channel_code FROM products.t_d_category;
SCR_JP_SUB36	SELECT channel_code FROM products.v_feature_banner_image;
SCR_JP_SUB37	SELECT channel_code FROM ec.v_module;
SCR_JP_SUB38	SELECT channel_code FROM products.v_goods_classification_level_category;
SCR_JP_SUB39	SELECT channel_code FROM products.v_goods_classification_level_category;
SCR_JP_SUB40	SELECT channel_code FROM products. v_goods_classification;
SCR_JP_SUB41	SELECT channel_code FROM ec.tusergrp;
SCR_JP_SUB42	SELECT channel_code FROM products.v_buying_club_parent_goods_sku;
SCR_JP_SUB43	SELECT channel_code FROM products.v_buying_club_child_goods_sku;
SCR_JP_SUB44	SELECT channel_code FROM products.v_select_set_goods_sku;
SCR_JP_SUB45	SELECT channel_code FROM products.v_parentable_features;
SCR_JP_SUB46	SELECT channel_code FROM products.v_parentable_brands;
SCR_JP_SUB47	SELECT channel_code FROM products.v_parentable_tenant_shops;
SCR_JP_SUB48	SELECT channel_code FROM ec.v_module;
SCR_JP_SUB49	SELECT channel_code FROM ec.v_module;
SCR_JP_SUB50	SELECT channel_code FROM ec.v_module;
SCR_JP_SUB51	SELECT channel_code FROM ec.v_module;
SCR_JP_SUB52	SELECT channel_code FROM products.V_ROSE_COUNSEL_QUESTION;
SCR_JP_SUB53	SELECT channel_code FROM products.v_goods_lifestyle_recommend;
SCR_JP_SUB54	SELECT channel_code FROM products.v_goods_lifestyle_recommend_normal_product;
SCR_JP_SUB55	SELECT channel_code FROM products.v_goods_lifestyle_recommend_buyingclub;
SCR_JP_SUB56	SELECT channel_code FROM products.v_navigation;
SCR_JP_SUB57	SELECT channel_code FROM products.v_navigation;
SCR_JP_SUB58	SELECT channel_code FROM products.v_navigation;
SCR_JP_SUB59	SELECT channel_code FROM orders.t_coupon;
SCR_JP_SUB60	SELECT channel_code FROM orders.t_coupon;
SCR_JP_SUB61	SELECT channel_code FROM products.t_icon_code;
SCR_JP_SUB62	SELECT channel_code FROM products.v_goods_type;
SCR_JP_SUB63	SELECT channel_code FROM products.t_feature;
SCR_JP_SUB64	SELECT channel_code FROM products.t_brand;
SCR_JP_SUB65	SELECT channel_code FROM products.v_goods_sku_brand;
SCR_JP_SUB66	SELECT channel_code FROM products.t_feature;
SCR_JP_SUB67	SELECT channel_code FROM products.v_parentable_features;
